n,j,u[n][j],exact,error
0,0,0.000000,0.000000,0.000000
0,1,0.309017,0.309017,0.000000
0,2,0.587785,0.587785,0.000000
0,3,0.809017,0.809017,0.000000
0,4,0.951057,0.951057,0.000000
0,5,1.000000,1.000000,0.000000
0,6,0.951057,0.951057,0.000000
0,7,0.809017,0.809017,0.000000
0,8,0.587785,0.587785,0.000000
0,9,0.309017,0.309017,0.000000
0,10,0.000000,0.000000,0.000000
1,0,0.000000,0.000000,0.000000
1,1,0.297150,0.297055,0.031858
1,2,0.565213,0.565032,0.031858
1,3,0.777948,0.777701,0.031858
1,4,0.914533,0.914242,0.031858
1,5,0.961597,0.961291,0.031858
1,6,0.914533,0.914242,0.031858
1,7,0.777948,0.777701,0.031858
1,8,0.565213,0.565032,0.031858
1,9,0.297150,0.297055,0.031858
1,10,0.000000,0.000000,0.000000
2,0,0.000000,0.000000,0.000000
2,1,0.285738,0.285556,0.063705
2,2,0.543507,0.543160,0.063705
2,3,0.748073,0.747596,0.063705
2,4,0.879412,0.878852,0.063705
2,5,0.924669,0.924080,0.063705
2,6,0.879412,0.878852,0.063705
2,7,0.748073,0.747596,0.063705
2,8,0.543507,0.543160,0.063705
2,9,0.285738,0.285556,0.063705
2,10,0.000000,0.000000,0.000000
3,0,0.000000,0.000000,0.000000
3,1,0.274765,0.274503,0.095542
3,2,0.522634,0.522135,0.095542
3,3,0.719345,0.718657,0.095542
3,4,0.845640,0.844832,0.095542
3,5,0.889159,0.888309,0.095542
3,6,0.845640,0.844832,0.095542
3,7,0.719345,0.718657,0.095542
3,8,0.522634,0.522135,0.095542
3,9,0.274765,0.274503,0.095542
3,10,0.000000,0.000000,0.000000
4,0,0.000000,0.000000,0.000000
4,1,0.264213,0.263877,0.127370
4,2,0.502564,0.501924,0.127370
4,3,0.691720,0.690839,0.127370
4,4,0.813165,0.812130,0.127370
4,5,0.855013,0.853923,0.127370
4,6,0.813165,0.812130,0.127370
4,7,0.691720,0.690839,0.127370
4,8,0.502564,0.501924,0.127370
4,9,0.264213,0.263877,0.127370
4,10,0.000000,0.000000,0.000000
5,0,0.000000,0.000000,0.000000
5,1,0.254067,0.253662,0.159187
5,2,0.483264,0.482495,0.159187
5,3,0.665156,0.664097,0.159187
5,4,0.781937,0.780693,0.159187
5,5,0.822178,0.820869,0.159187
5,6,0.781937,0.780693,0.159187
5,7,0.665156,0.664097,0.159187
5,8,0.483264,0.482495,0.159187
5,9,0.254067,0.253662,0.159187
5,10,0.000000,0.000000,0.000000
6,0,0.000000,0.000000,0.000000
6,1,0.244310,0.243843,0.190994
6,2,0.464705,0.463818,0.190994
6,3,0.639612,0.638390,0.190994
6,4,0.751909,0.750472,0.190994
6,5,0.790603,0.789093,0.190994
6,6,0.751909,0.750472,0.190994
6,7,0.639612,0.638390,0.190994
6,8,0.464705,0.463818,0.190994
6,9,0.244310,0.243843,0.190994
6,10,0.000000,0.000000,0.000000
7,0,0.000000,0.000000,0.000000
7,1,0.234928,0.234404,0.222790
7,2,0.446859,0.445863,0.222790
7,3,0.615049,0.613678,0.222790
7,4,0.723033,0.721422,0.222790
7,5,0.760242,0.758548,0.222790
7,6,0.723033,0.721422,0.222790
7,7,0.615049,0.613678,0.222790
7,8,0.446859,0.445863,0.222790
7,9,0.234928,0.234404,0.222790
7,10,0.000000,0.000000,0.000000
8,0,0.000000,0.000000,0.000000
8,1,0.225906,0.225331,0.254577
8,2,0.429698,0.428604,0.254577
8,3,0.591429,0.589923,0.254577
8,4,0.695266,0.693496,0.254577
8,5,0.731046,0.729185,0.254577
8,6,0.695266,0.693496,0.254577
8,7,0.591429,0.589923,0.254577
8,8,0.429698,0.428604,0.254577
8,9,0.225906,0.225331,0.254577
8,10,0.000000,0.000000,0.000000
9,0,0.000000,0.000000,0.000000
9,1,0.217230,0.216608,0.286354
9,2,0.413197,0.412013,0.286354
9,3,0.568716,0.567088,0.286354
9,4,0.668566,0.666652,0.286354
9,5,0.702972,0.700959,0.286354
9,6,0.668566,0.666652,0.286354
9,7,0.568716,0.567088,0.286354
9,8,0.413197,0.412013,0.286354
9,9,0.217230,0.216608,0.286354
9,10,0.000000,0.000000,0.000000
10,0,0.000000,0.000000,0.000000
10,1,0.208888,0.208224,0.318120
10,2,0.397329,0.396065,0.318120
10,3,0.546876,0.545136,0.318120
10,4,0.642891,0.640846,0.318120
10,5,0.675976,0.673825,0.318120
10,6,0.642891,0.640846,0.318120
10,7,0.546876,0.545136,0.318120
10,8,0.397329,0.396065,0.318120
10,9,0.208888,0.208224,0.318120
10,10,0.000000,0.000000,0.000000
11,0,0.000000,0.000000,0.000000
11,1,0.200866,0.200163,0.349876
11,2,0.382070,0.380733,0.349876
11,3,0.525874,0.524034,0.349876
11,4,0.618202,0.616039,0.349876
11,5,0.650016,0.647742,0.349876
11,6,0.618202,0.616039,0.349876
11,7,0.525874,0.524034,0.349876
11,8,0.382070,0.380733,0.349876
11,9,0.200866,0.200163,0.349876
11,10,0.000000,0.000000,0.000000
12,0,0.000000,0.000000,0.000000
12,1,0.193152,0.192415,0.381623
12,2,0.367397,0.365995,0.381623
12,3,0.505679,0.503749,0.381623
