n,j,u[n][j],exact,error
0,0,0.000000,0.000000,0.000000
0,1,0.309017,0.309017,0.000000
0,2,0.587785,0.587785,0.000000
0,3,0.809017,0.809017,0.000000
0,4,0.951057,0.951057,0.000000
0,5,1.000000,1.000000,0.000000
0,6,0.951057,0.951057,0.000000
0,7,0.809017,0.809017,0.000000
0,8,0.587785,0.587785,0.000000
0,9,0.309017,0.309017,0.000000
0,10,0.000000,0.000000,0.000000
1,0,0.000000,0.000000,0.000000
1,1,0.297373,0.297055,0.107017
1,2,0.565638,0.565032,0.107017
1,3,0.778534,0.777701,0.107017
1,4,0.915221,0.914242,0.107017
1,5,0.962321,0.961291,0.107017
1,6,0.915221,0.914242,0.107017
1,7,0.778534,0.777701,0.107017
1,8,0.565638,0.565032,0.107017
1,9,0.297373,0.297055,0.107017
1,10,0.000000,0.000000,0.000000
2,0,0.000000,0.000000,0.000000
2,1,0.286169,0.285556,0.213919
2,2,0.544325,0.543160,0.213919
2,3,0.749199,0.747596,0.213919
2,4,0.880736,0.878852,0.213919
2,5,0.926061,0.924080,0.213919
2,6,0.880736,0.878852,0.213919
2,7,0.749199,0.747596,0.213919
2,8,0.544325,0.543160,0.213919
2,9,0.286169,0.285556,0.213919
2,10,0.000000,0.000000,0.000000
3,0,0.000000,0.000000,0.000000
3,1,0.275386,0.274503,0.320707
3,2,0.523815,0.522135,0.320707
3,3,0.720970,0.718657,0.320707
3,4,0.847551,0.844832,0.320707
3,5,0.891167,0.888309,0.320707
3,6,0.847551,0.844832,0.320707
3,7,0.720970,0.718657,0.320707
3,8,0.523815,0.522135,0.320707
3,9,0.275386,0.274503,0.320707
3,10,0.000000,0.000000,0.000000
4,0,0.000000,0.000000,0.000000
4,1,0.265009,0.263877,0.427380
4,2,0.504078,0.501924,0.427380
4,3,0.693804,0.690839,0.427380
4,4,0.815615,0.812130,0.427380
4,5,0.857589,0.853923,0.427380
4,6,0.815615,0.812130,0.427380
4,7,0.693804,0.690839,0.427380
4,8,0.504078,0.501924,0.427380
4,9,0.265009,0.263877,0.427380
4,10,0.000000,0.000000,0.000000
5,0,0.000000,0.000000,0.000000
5,1,0.255024,0.253662,0.533939
5,2,0.485085,0.482495,0.533939
5,3,0.667662,0.664097,0.533939
5,4,0.784883,0.780693,0.533939
5,5,0.825275,0.820869,0.533939
5,6,0.784883,0.780693,0.533939
5,7,0.667662,0.664097,0.533939
5,8,0.485085,0.482495,0.533939
5,9,0.255024,0.253662,0.533939
5,10,0.000000,0.000000,0.000000
6,0,0.000000,0.000000,0.000000
6,1,0.245415,0.243843,0.640385
6,2,0.466807,0.463818,0.640385
6,3,0.642505,0.638390,0.640385
6,4,0.755309,0.750472,0.640385
6,5,0.794179,0.789093,0.640385
6,6,0.755309,0.750472,0.640385
6,7,0.642505,0.638390,0.640385
6,8,0.466807,0.463818,0.640385
6,9,0.245415,0.243843,0.640385
6,10,0.000000,0.000000,0.000000
7,0,0.000000,0.000000,0.000000
7,1,0.236168,0.234404,0.746716
7,2,0.449218,0.445863,0.746716
7,3,0.618295,0.613678,0.746716
7,4,0.726850,0.721422,0.746716
7,5,0.764255,0.758548,0.746716
7,6,0.726850,0.721422,0.746716
7,7,0.618295,0.613678,0.746716
7,8,0.449218,0.445863,0.746716
7,9,0.236168,0.234404,0.746716
7,10,0.000000,0.000000,0.000000
8,0,0.000000,0.000000,0.000000
8,1,0.227269,0.225331,0.852933
8,2,0.432292,0.428604,0.852933
8,3,0.594998,0.589923,0.852933
8,4,0.699462,0.693496,0.852933
8,5,0.735458,0.729185,0.852933
8,6,0.699462,0.693496,0.852933
8,7,0.594998,0.589923,0.852933
8,8,0.432292,0.428604,0.852933
8,9,0.227269,0.225331,0.852933
8,10,0.000000,0.000000,0.000000
9,0,0.000000,0.000000,0.000000
9,1,0.218706,0.216608,0.959037
9,2,0.416003,0.412013,0.959037
9,3,0.572579,0.567088,0.959037
9,4,0.673107,0.666652,0.959037
9,5,0.707747,0.700959,0.959037
9,6,0.673107,0.666652,0.959037
9,7,0.572579,0.567088,0.959037
9,8,0.416003,0.412013,0.959037
9,9,0.218706,0.216608,0.959037
9,10,0.000000,0.000000,0.000000
10,0,0.000000,0.000000,0.000000
10,1,0.210465,0.208224,1.065028
10,2,0.400328,0.396065,1.065028
10,3,0.551005,0.545136,1.065028
10,4,0.647745,0.640846,1.065028
10,5,0.681079,0.673825,1.065028
10,6,0.647745,0.640846,1.065028
10,7,0.551005,0.545136,1.065028
10,8,0.400328,0.396065,1.065028
10,9,0.210465,0.208224,1.065028
10,10,0.000000,0.000000,0.000000
11,0,0.000000,0.000000,0.000000
11,1,0.202535,0.200163,1.170905
11,2,0.385244,0.380733,1.170905
11,3,0.530243,0.524034,1.170905
11,4,0.623338,0.616039,1.170905
11,5,0.655416,0.647742,1.170905
11,6,0.623338,0.616039,1.170905
11,7,0.530243,0.524034,1.170905
11,8,0.385244,0.380733,1.170905
11,9,0.202535,0.200163,1.170905
11,10,0.000000,0.000000,0.000000
12,0,0.000000,0.000000,0.000000
12,1,0.194903,0.192415,1.276668
12,2,0.370728,0.365995,1.276668
12,3,0.510264,0.503749,1.276668
