n,j,u[n][j],exact,error
0,0,1.000000,1.000000,0.000000
0,1,0.987688,0.987688,0.000000
0,2,0.951057,0.951057,0.000000
0,3,0.891007,0.891007,0.000000
0,4,0.809017,0.809017,0.000000
0,5,0.707107,0.707107,0.000000
0,6,0.587785,0.587785,0.000000
0,7,0.453990,0.453990,0.000000
0,8,0.309017,0.309017,0.000000
0,9,0.156434,0.156434,0.000000
0,10,0.000000,0.000000,1.#INF00
1,0,0.990199,0.990179,0.002020
1,1,0.978008,0.977988,0.002020
1,2,0.941735,0.941716,0.002020
1,3,0.882274,0.882256,0.002020
1,4,0.801088,0.801072,0.002020
1,5,0.700176,0.700162,0.002020
1,6,0.582024,0.582013,0.002020
1,7,0.449541,0.449532,0.002020
1,8,0.305988,0.305982,0.002020
1,9,0.154901,0.154898,0.002020
1,10,0.000000,0.000000,1.#INF00
2,0,0.980494,0.980454,0.004039
2,1,0.968422,0.968383,0.004039
2,2,0.932505,0.932467,0.004039
2,3,0.873626,0.873591,0.004039
2,4,0.793236,0.793204,0.004039
2,5,0.693314,0.693286,0.004039
2,6,0.576320,0.576297,0.004039
2,7,0.445135,0.445117,0.004039
2,8,0.302989,0.302977,0.004039
2,9,0.153383,0.153377,0.004039
2,10,0.000000,0.000000,1.#INF00
3,0,0.970884,0.970825,0.006059
3,1,0.958931,0.958873,0.006059
3,2,0.923366,0.923310,0.006059
3,3,0.865064,0.865012,0.006059
3,4,0.785462,0.785414,0.006059
3,5,0.686519,0.686477,0.006059
3,6,0.570671,0.570637,0.006059
3,7,0.440772,0.440745,0.006059
3,8,0.300020,0.300001,0.006059
3,9,0.151880,0.151871,0.006059
3,10,0.000000,0.000000,1.#INF00
4,0,0.961368,0.961291,0.008079
4,1,0.949532,0.949456,0.008079
4,2,0.914316,0.914242,0.008079
4,3,0.856585,0.856516,0.008079
4,4,0.777763,0.777701,0.008079
4,5,0.679790,0.679735,0.008079
4,6,0.565078,0.565032,0.008079
4,7,0.436452,0.436417,0.008079
4,8,0.297079,0.297055,0.008079
4,9,0.150391,0.150379,0.008079
4,10,0.000000,0.000000,1.#INF00
5,0,0.951946,0.951850,0.010098
5,1,0.940226,0.940131,0.010098
5,2,0.905354,0.905263,0.010098
5,3,0.848190,0.848104,0.010098
5,4,0.770140,0.770063,0.010098
5,5,0.673127,0.673059,0.010098
5,6,0.559540,0.559483,0.010098
5,7,0.432174,0.432131,0.010098
5,8,0.294167,0.294138,0.010098
5,9,0.148917,0.148902,0.010098
5,10,0.000000,0.000000,1.#INF00
6,0,0.942616,0.942502,0.012118
6,1,0.931011,0.930898,0.012118
6,2,0.896481,0.896372,0.012118
6,3,0.839877,0.839775,0.012118
6,4,0.762592,0.762500,0.012118
6,5,0.666530,0.666449,0.012118
6,6,0.554056,0.553989,0.012118
6,7,0.427939,0.427887,0.012118
6,8,0.291284,0.291249,0.012118
