n,j,u[n][j],exact,error
0,0,1.000000,1.000000,0.000000
0,1,0.987688,0.987688,0.000000
0,2,0.951057,0.951057,0.000000
0,3,0.891007,0.891007,0.000000
0,4,0.809017,0.809017,0.000000
0,5,0.707107,0.707107,0.000000
0,6,0.587785,0.587785,0.000000
0,7,0.453990,0.453990,0.000000
0,8,0.309017,0.309017,0.000000
0,9,0.156434,0.156434,0.000000
1,0,0.990151,0.990179,0.002855
1,1,0.977960,0.977988,0.002855
1,2,0.941689,0.941716,0.002855
1,3,0.882231,0.882256,0.002855
1,4,0.801049,0.801072,0.002855
1,5,0.700142,0.700162,0.002855
1,6,0.581996,0.582013,0.002855
1,7,0.449519,0.449532,0.002855
1,8,0.305973,0.305982,0.002855
1,9,0.154894,0.154898,0.002855
2,0,0.980398,0.980454,0.005710
2,1,0.968328,0.968383,0.005710
2,2,0.932414,0.932467,0.005710
2,3,0.873541,0.873591,0.005710
2,4,0.793159,0.793204,0.005710
2,5,0.693246,0.693286,0.005710
2,6,0.576264,0.576297,0.005710
2,7,0.445092,0.445117,0.005710
2,8,0.302960,0.302977,0.005710
2,9,0.153368,0.153377,0.005710
3,0,0.970742,0.970825,0.008565
3,1,0.958791,0.958873,0.008565
3,2,0.923231,0.923310,0.008565
3,3,0.864938,0.865012,0.008565
3,4,0.785347,0.785414,0.008565
3,5,0.686418,0.686477,0.008565
3,6,0.570588,0.570637,0.008565
3,7,0.440708,0.440745,0.008565
3,8,0.299976,0.300001,0.008565
3,9,0.151858,0.151871,0.008565
4,0,0.961181,0.961291,0.011420
4,1,0.949347,0.949456,0.011420
4,2,0.914137,0.914242,0.011420
4,3,0.856418,0.856516,0.011420
4,4,0.777612,0.777701,0.011420
4,5,0.679658,0.679735,0.011420
4,6,0.564968,0.565032,0.011420
4,7,0.436367,0.436417,0.011420
4,8,0.297021,0.297055,0.011420
4,9,0.150362,0.150379,0.011420
5,0,0.951714,0.951850,0.014275
5,1,0.939997,0.940131,0.014275
5,2,0.905134,0.905263,0.014275
5,3,0.847983,0.848104,0.014275
5,4,0.769953,0.770063,0.014275
5,5,0.672963,0.673059,0.014275
5,6,0.559403,0.559483,0.014275
5,7,0.432069,0.432131,0.014275
5,8,0.294096,0.294138,0.014275
5,9,0.148881,0.148902,0.014275
6,0,0.942340,0.942502,0.017131
6,1,0.930738,0.930898,0.017131
6,2,0.896219,0.896372,0.017131
6,3,0.839631,0.839775,0.017131
6,4,0.762369,0.762500,0.017131
6,5,0.666335,0.666449,0.017131
6,6,0.553894,0.553989,0.017131
6,7,0.427814,0.427887,0.017131
6,8,0.291199,0.291249,0.017131
6,9,0.147414,0.147440,0.017131
7,0,0.933059,0.933245,0.019986
7,1,0.921571,0.921755,0.019986
7,2,0.887392,0.887569,0.019986
7,3,0.831361,0.831528,0.019986
7,4,0.754860,0.755011,0.019986
