n,j,u[n][j],exact,error
0,0,1.000000,1.000000,0.000000
0,1,0.987688,0.987688,0.000000
0,2,0.951057,0.951057,0.000000
0,3,0.891007,0.891007,0.000000
0,4,0.809017,0.809017,0.000000
0,5,0.707107,0.707107,0.000000
0,6,0.587785,0.587785,0.000000
0,7,0.453990,0.453990,0.000000
0,8,0.309017,0.309017,0.000000
0,9,0.156434,0.156434,0.000000
0,10,0.000000,0.000000,1.#INF00
1,0,0.990247,0.990179,0.006846
1,1,0.978055,0.977988,0.006846
1,2,0.941781,0.941716,0.006846
1,3,0.882316,0.882256,0.006846
1,4,0.801126,0.801072,0.006846
1,5,0.700210,0.700162,0.006846
1,6,0.582052,0.582013,0.006846
1,7,0.449563,0.449532,0.006846
1,8,0.306003,0.305982,0.006846
1,9,0.154909,0.154898,0.006846
1,10,0.000000,0.000000,1.#INF00
2,0,0.980589,0.980454,0.013692
2,1,0.968516,0.968383,0.013692
2,2,0.932595,0.932467,0.013692
2,3,0.873711,0.873591,0.013692
2,4,0.793313,0.793204,0.013692
2,5,0.693381,0.693286,0.013692
2,6,0.576376,0.576297,0.013692
2,7,0.445178,0.445117,0.013692
2,8,0.303019,0.302977,0.013692
2,9,0.153398,0.153377,0.013692
2,10,0.000000,0.000000,1.#INF00
3,0,0.971025,0.970825,0.020537
3,1,0.959070,0.958873,0.020537
3,2,0.923499,0.923310,0.020537
3,3,0.865189,0.865012,0.020537
3,4,0.785575,0.785414,0.020537
3,5,0.686618,0.686477,0.020537
3,6,0.570754,0.570637,0.020537
3,7,0.440836,0.440745,0.020537
3,8,0.300063,0.300001,0.020537
3,9,0.151902,0.151871,0.020537
3,10,0.000000,0.000000,1.#INF00
4,0,0.961554,0.961291,0.027382
4,1,0.949716,0.949456,0.027382
4,2,0.914492,0.914242,0.027382
4,3,0.856751,0.856516,0.027382
4,4,0.777914,0.777701,0.027382
4,5,0.679921,0.679735,0.027382
4,6,0.565187,0.565032,0.027382
4,7,0.436536,0.436417,0.027382
4,8,0.297137,0.297055,0.027382
4,9,0.150420,0.150379,0.027382
4,10,0.000000,0.000000,1.#INF00
5,0,0.952176,0.951850,0.034227
5,1,0.940453,0.940131,0.034227
5,2,0.905573,0.905263,0.034227
5,3,0.848395,0.848104,0.034227
5,4,0.770326,0.770063,0.034227
5,5,0.673290,0.673059,0.034227
5,6,0.559675,0.559483,0.034227
5,7,0.432279,0.432131,0.034227
5,8,0.294238,0.294138,0.034227
5,9,0.148953,0.148902,0.034227
5,10,0.000000,0.000000,1.#INF00
6,0,0.942889,0.942502,0.041071
6,1,0.931280,0.930898,0.041071
6,2,0.896741,0.896372,0.041071
6,3,0.840120,0.839775,0.041071
6,4,0.762813,0.762500,0.041071
6,5,0.666723,0.666449,0.041071
6,6,0.554216,0.553989,0.041071
6,7,0.428063,0.427887,0.041071
6,8,0.291369,0.291249,0.041071
